9-String Guitar

-9 Frets
    S   9              8              7              6              5              4              3              2              1

    24  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  D#5  311.127   G#5  415.3047  C#6  554.3653  F6   698.4565  Bb7  932.3275

-5 Frets
    S   9              8              7              6              5              4              3              2              1

    0   G#1  25.95654  C#2  34.64783  F#2  46.2493   B3   61.73541  E3   82.40689  A4   110       F4   146.8324  F#4  184.9972  B5   246.9417
    1   A2   27.5      D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409  F#4  155.5635  G4   195.9977  C5   261.6256 
    2   Bb2  29.13524  D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708  E    164.8138  G#4  207.6523  C#5  277.1826
    3   B2   30.86771  E2   41.20344  A3   55        D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  A5   220       D5   293.6648
    4   C2   32.7032   F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  Bb5  233.0819  D#5  311.127
    5   C#2  34.64783  F#2  46.2493   B3   61.73541  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  B5   246.9417  E5   329.6276
    6   D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C5   261.6256  F5   349.2282
    7   D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708  E4   164.8138  A5   220       C#5  277.1826  F#5  369.9944
    8   E2   41.20344  A3   55        D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  D5   293.6648  G5   391.9954
    9   F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417  D#5  311.127   G#5  415.3047
    10  F#2  46.2493   B3   61.73541  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  C5   261.6256  E5   329.6276  A6   440
    11  G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C#5  277.1826  F5   349.2282  Bb6  466.1638
    12  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708  E4   164.8138  A5   220       D5   293.6648  F#5  369.9944  B6   493.8833
    13  A3   55        D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  D#5  311.127   G5   391.9954  C6   523.2511
    14  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417  E5   329.6276  G#5  415.3047  C#6  554.3653
    15  B3   61.73541  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  C5   261.6256  F5   349.2282  A6   440       D6   587.3295
    16  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C#5  277.1826  F#5  369.9944  Bb6  466.1638  D#6  622.254
    17  C#2  69.29566  F#3  92.49861  B4   123.4708  E4   164.8324  A5   220       D5   293.6648  G5   391.9954  B6   493.8833  E6   659.2551
    18  D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  D#5  311.127   G#5  415.3047  C6   523.2511  F6   698.4565
    19  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417  E5   329.6276  A6   440       C#6  554.3653  F#6  739.9888
    20  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  C5   261.6256  F5   349.2282  Bb6  466.1638  D6   587.3295  G6   783.9909
    21  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C#5  277.1826  F#5  369.9944  B6   493.8833  D#6  622.254   G#6  830.6094
    22  F#3  92.49861  B4   123.4708  E4   164.8138  A5   220       D5   293.6648  G5   391.9954  C6   523.2511  E6   659.2551  A7   880
    23  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  D#5  311.127   G#5  415.3047  C#6  554.3653  F6   698.4565  Bb7  932.3275
    24  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417  E5   329.6276  A6   440       D6   587.3295  F#6  739.9888  B7   987.7666

-4 Frets
    S   9              8              7              6              5              4              3              2              1

    0   A2   27.5      D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409  F#4  155.5635  G4   195.9977  C5   261.6256 
    1   Bb2  29.13524  D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708  E    164.8138  G#4  207.6523  C#5  277.1826
    2   B2   30.86771  E2   41.20344  A3   55        D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  A5   220       D5   293.6648
    3   C2   32.7032   F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  Bb5  233.0819  D#5  311.127
    4   C#2  34.64783  F#2  46.2493   B3   61.73541  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  B5   246.9417  E5   329.6276
    5   D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C5   261.6256  F5   349.2282
    6   D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708  E4   164.8138  A5   220       C#5  277.1826  F#5  369.9944
    7   E2   41.20344  A3   55        D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  D5   293.6648  G5   391.9954
    8   F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417  D#5  311.127   G#5  415.3047
    9   F#2  46.2493   B3   61.73541  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  C5   261.6256  E5   329.6276  A6   440
    10  G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C#5  277.1826  F5   349.2282  Bb6  466.1638
    11  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708  E4   164.8138  A5   220       D5   293.6648  F#5  369.9944  B6   493.8833
    12  A3   55        D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  D#5  311.127   G5   391.9954  C6   523.2511
    13  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417  E5   329.6276  G#5  415.3047  C#6  554.3653
    14  B3   61.73541  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  C5   261.6256  F5   349.2282  A6   440       D6   587.3295
    15  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C#5  277.1826  F#5  369.9944  Bb6  466.1638  D#6  622.254
    16  C#2  69.29566  F#3  92.49861  B4   123.4708  E4   164.8324  A5   220       D5   293.6648  G5   391.9954  B6   493.8833  E6   659.2551
    17  D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  D#5  311.127   G#5  415.3047  C6   523.2511  F6   698.4565
    18  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417  E5   329.6276  A6   440       C#6  554.3653  F#6  739.9888
    19  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  C5   261.6256  F5   349.2282  Bb6  466.1638  D6   587.3295  G6   783.9909
    20  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C#5  277.1826  F#5  369.9944  B6   493.8833  D#6  622.254   G#6  830.6094
    21  F#3  92.49861  B4   123.4708  E4   164.8138  A5   220       D5   293.6648  G5   391.9954  C6   523.2511  E6   659.2551  A7   880
    22  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  D#5  311.127   G#5  415.3047  C#6  554.3653  F6   698.4565  Bb7  932.3275
    23  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417  E5   329.6276  A6   440       D6   587.3295  F#6  739.9888  B7   987.7666
    24  A4   110       D4   146.8324  G4   195.9977  C5   261.6256  F5   349.2282  Bb6  466.1638  D#6  622.254   G6   783.9909  C7   1046.502

-3 Frets
    S   9              8              7              6              5              4              3              2              1

    0   Bb2  29.13524  D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708  E    164.8138  G#4  207.6523  C#5  277.1826
    1   B2   30.86771  E2   41.20344  A3   55        D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  A5   220       D5   293.6648
    2   C2   32.7032   F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  Bb5  233.0819  D#5  311.127
    3   C#2  34.64783  F#2  46.2493   B3   61.73541  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  B5   246.9417  E5   329.6276
    4   D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C5   261.6256  F5   349.2282
    5   D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708  E4   164.8138  A5   220       C#5  277.1826  F#5  369.9944
    6   E2   41.20344  A3   55        D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  D5   293.6648  G5   391.9954
    7   F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417  D#5  311.127   G#5  415.3047
    8   F#2  46.2493   B3   61.73541  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  C5   261.6256  E5   329.6276  A6   440
    9   G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C#5  277.1826  F5   349.2282  Bb6  466.1638
    10  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708  E4   164.8138  A5   220       D5   293.6648  F#5  369.9944  B6   493.8833
    11  A3   55        D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  D#5  311.127   G5   391.9954  C6   523.2511
    12  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417  E5   329.6276  G#5  415.3047  C#6  554.3653
    13  B3   61.73541  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  C5   261.6256  F5   349.2282  A6   440       D6   587.3295
    14  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C#5  277.1826  F#5  369.9944  Bb6  466.1638  D#6  622.254
    15  C#2  69.29566  F#3  92.49861  B4   123.4708  E4   164.8324  A5   220       D5   293.6648  G5   391.9954  B6   493.8833  E6   659.2551
    16  D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  D#5  311.127   G#5  415.3047  C6   523.2511  F6   698.4565
    17  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417  E5   329.6276  A6   440       C#6  554.3653  F#6  739.9888
    18  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  C5   261.6256  F5   349.2282  Bb6  466.1638  D6   587.3295  G6   783.9909
    19  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C#5  277.1826  F#5  369.9944  B6   493.8833  D#6  622.254   G#6  830.6094
    20  F#3  92.49861  B4   123.4708  E4   164.8138  A5   220       D5   293.6648  G5   391.9954  C6   523.2511  E6   659.2551  A7   880
    21  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  D#5  311.127   G#5  415.3047  C#6  554.3653  F6   698.4565  Bb7  932.3275
    22  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417  E5   329.6276  A6   440       D6   587.3295  F#6  739.9888  B7   987.7666
    23  A4   110       D4   146.8324  G4   195.9977  C5   261.6256  F5   349.2282  Bb6  466.1638  D#6  622.254   G6   783.9909  C7   1046.502
    24  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C#5  277.1826  F#5  369.9944  B6   493.8833  E6   659.2551  G#6  830.6094  C#7  1108.731

-2 Frets
    S   9              8              7              6              5              4              3              2              1

    0   B2   30.86771  E2   41.20344  A3   55        D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  A5   220       D5   293.6648
